KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko04320	22	35	18	13	18	17	32	46	22	57	60	47	40	49	32	14	99	61	45	35	75	73	39	53	22	12	73	29	113	30	101	22	89	55	145	29	111	69	137	43	161	84	75	31	33	44	27	2537
ko04340	5	0	4	2	1	4	3	0	0	5	21	13	0	17	5	10	3	41	6	4	5	59	15	20	23	74	26	17	102	7	44	4	35	23	50	19	55	30	111	20	12	65	2	19	7	1	6	995
ko04341	5	0	4	2	1	4	3	0	0	5	21	13	0	17	5	10	3	41	6	4	5	59	15	20	23	74	26	17	102	7	44	4	35	23	50	19	55	30	111	20	12	65	2	19	7	1	6	995
ko04350	0	0	4	2	1	4	3	0	0	2	20	1	0	17	5	10	3	22	3	2	3	56	6	19	23	74	26	17	102	7	44	4	35	23	50	19	55	30	111	20	12	65	2	19	7	1	6	935
ko04360	0	0	0	64	0	0	0	0	0	0	0	0	1	1	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132
ko04371	10	5	9	3	0	3	0	0	0	46	24	32	2	7	0	12	3	57	62	15	39	13	36	62	164	103	34	0	0	125	109	3	5	29	11	0	8	2	40	0	9	13	23	0	0	17	19	1154
ko04380	6437	5750	5320	6486	3893	5497	6669	4857	6481	4240	4632	5227	4478	3851	4292	4836	4700	5665	4050	3797	5518	4297	4386	4229	6032	17904	9275	9683	18069	9055	11778	10990	9284	13283	16609	18167	10254	15029	15967	20528	19350	12056	12642	8876	3545	5047	4318	397329
ko04390	9	20	77	5	15	0	19	11	35	34	45	3	16	1	35	4	25	36	13	28	89	12	7	37	17	1	1	0	9	1	15	0	4	0	0	58	1	3	12	3	16	0	9	6	3	27	17	779
ko04391	9	24	80	16	19	8	24	19	37	35	46	3	23	6	41	12	31	40	22	33	92	18	10	46	21	10	16	5	21	3	17	7	7	12	2	76	3	9	17	13	26	11	14	8	19	36	24	1071
ko04392	9	20	77	5	15	0	19	11	35	34	45	3	16	1	35	4	25	36	13	28	89	12	7	37	17	1	1	0	9	1	15	0	4	0	0	58	1	3	12	3	16	0	9	6	3	27	17	779
